sqlzoo_id	title	yr	director	budget	gross	actors
20959	There's Something About Mary	1998	45523	23000000	369884651	1680::Lin Shaye|2318::Matt Dillon|2384::Cameron Diaz|4655::Keith David|5714::Ben Stiller|8459::Harland Williams|9247::Richard Tyson|10179::Jeffrey Tambor|12753::Chris Elliott|14008::Khandi Alexander|19120::Rob Moran|20055::W. Earl Brown|20728::Willie Garson|22088::Lee Evans|23935::Sarah Silverman|45524::Markie Post|45525::Brett Favre|45526::Jonathan Richman
20336	The Royal Tenenbaums	2002	11520	21000000	71441250	602::Danny Glover|852::Luke Wilson|2888::Gwyneth Paltrow|3958::Gene Hackman|4271::Anjelica Huston|5714::Ben Stiller|11523::Andrew Wilson|12792::Bill Murray
15530	Meet the Parents	2000	8050	55000000		412::Blythe Danner|5714::Ben Stiller|6439::Owen Wilson|7770::Teri Polo|30050::Robert De Niro
15593	Midnight in the Garden of Good and Evil	1997	1987	30000000	25000000	224::Geoffrey Lewis|340::John Cusack|636::Kevin Spacey|1377::Jude Law|1522::Kim Hunter|3155::Irma P. Hall|4058::Bob Gunton|8104::Jack Thompson|8639::Paul Hipp|11748::Alison Eastwood|20184::Richard Herd|30257::The Lady Chablis
19847	The Men Who Stare at Goats	2009	10663	24000000	67348218	41::Stephen Root|636::Kevin Spacey|1296::Jeff Bridges|2383::Ewan McGregor|4755::Glenn Morshower|5614::Robert Patrick|9141::George Clooney|40270::Rebecca Mader|42802::George Clooney|42803::Waleed Zuaiter
10886	Austin Powers in Goldmember	2002	8050	63000000	296655431	636::Kevin Spacey|1089::Mike Myers|1099::Michael York|1375::Steven Spielberg|1694::John Travolta|2311::Robert Wagner|2888::Gwyneth Paltrow|3426::Tiny Lister|4285::Nathan Lane|4772::Seth Green|5015::Michael Caine|5620::Tom Cruise|5720::Masi Oka|6759::Heather Graham|7194::Danny DeVito|7292::Clint Howard|8052::Mindy Sterling|8053::Verne Troyer|8056::Kristen Johnston|8059::Michael McDonald|8060::Burt Bacharach|8066::Willie Nelson|8067::Beyonc̩ Knowles|8068::Fred Savage|8069::Diane Mizota|8070::Carrie Ann Inaba|8071::Nobu Matsuhisa|8072::Aaron Himelstein|8073::Josh Zuckerman|8074::Eddie Adams|8075::Evan Farmer|8076::Neil Mullarkey|8077::Jim Piddock|8078::Esther Scott|8079::Leyna Nguyen|8080::Jeanette Charles|8081::Brian Tee|8083::Greg Grunberg|8084::Kinga Philipps|8085::Scott Aukerman|8086::Kevin Stea|8087::Anna-Marie Goddard|8088::Ming Tea|8089::Susanna Hoffs|8090::Matthew Sweet|8091::Christopher Ward|8092::Katie Couric|8093::Kari Houghtaling|8094::Erik von Detten|8095::Quincy Jones|8096::Britney Spears
13559	Glengarry Glen Ross	1992	4524	12500000	10725228	636::Kevin Spacey|1251::Al Pacino|1397::Ed Harris|3506::Jonathan Pryce|4828::Jack Lemmon|5172::Alec Baldwin|8665::Alan Arkin
14536	Jerry Maguire	1996	5647	50000000	273552592	225::Kelly Preston|749::Eric Stoltz|1275::Todd Louiso|1308::Ren̩e Zellweger|1492::Bonnie Hunt|1669::Regina King|5620::Tom Cruise|7464::Jay Mohr|7492::Mark Pellington|7690::Cuba Gooding Jr.|8769::Lucy Liu|9524::Toby Huss|12183::Jeremy Suarez|15395::Drake Bell|21405::Beau Bridges|26476::Jonathan Lipnicki|26477::Aries Spears|26478::Jared Jussim|26479::Glenn Frey|26480::Christina Cavanaugh
21446	Valkyrie	2010	7351		200276784	1019::Tom Wilkinson|2116::Kenneth Cranham|2691::Kenneth Branagh|4118::Eddie Izzard|5319::Terence Stamp|5620::Tom Cruise|6287::David Schofield|7657::Bill Nighy|10774::Thomas Kretschmann|16429::Kevin McNally|21142::Christian Berkel|25244::David Bamber|34368::Carice van Houten|46727::Jamie Parker|46728::Harvey Friedman|46729::Matthias Freihof
13009	Eyes Wide Shut	1999	565	65000000	162091208	849::Vinessa Shaw|1253::Leelee Sobieski|3938::Sydney Pollack|5620::Tom Cruise|6970::Alan Cumming|8102::Nicole Kidman|8963::Thomas Gibson|9049::Leon Vitali|12108::Todd Field|17000::Sky du Mont|20174::Marie Richardson|20175::Julienne Davis
15366	Magnolia	1999	11356	37000000	48451803	47::Luis Guzman|101::Clark Gregg|694::Philip Seymour Hoffman|1344::John C. Reilly|1437::Jason Robards|1616::Melinda Dillon|1697::William H. Macy|2867::Henry Gibson|3523::Patton Oswalt|3821::Alfred Molina|4568::Michael Bowen|4757::Philip Baker Hall|5620::Tom Cruise|6364::Julianne Moore|6428::Michael Murphy|7064::William Mapother|8282::Miriam Margolyes|8631::Jim Beaver|9523::Orlando Jones|11360::Thomas Jane|11361::Melora Walters|11363::Ricky Jay|14687::Felicity Huffman|19087::Mary Lynn Rajskub|20808::April Grace|24552::Neil Flynn|29508::see|29509::Cast|29510::Jeremy Blackman
20050	The Outsiders	2005	7246		25697647	233::Patrick Swayze|2318::Matt Dillon|2449::Diane Lane|2794::Heather Langenkamp|3859::Rob Lowe|5620::Tom Cruise|7084::Emilio Estevez|7180::William Smith|7832::Tom Waits|10815::Gailard Sartain|18248::Ralph Macchio|22461::C. Thomas Howell|29349::Leif Garrett|31430::Michelle Meyrink|32962::Glenn Withrow|34264::Darren Dalton|34992::S. E. Hinton|43192::Nicholas Cage
19341	The Hours	2003	10351	25000000	108846072	141::Jeff Daniels|214::Allison Janney|717::Margo Martindale|1020::Stephen Dillane|1344::John C. Reilly|1385::Meryl Streep|1397::Ed Harris|6364::Julianne Moore|8102::Nicole Kidman|12074::Claire Danes|12870::Linda Bassett|14179::Toni Collette|14464::Miranda Richardson|24243::Lyndsey Marshal
15830	Muriel's Wedding	1994	15733	9000000		8547::Bill Hunter|11071::Rachel Griffiths|11411::Sophie Lee|14179::Toni Collette|18480::Jeanie Drynan|27983::Daniel Lapaine|31029::Matt Day|31030::Roz Hammond|31031::Pippa Grandison
12877	Emma	1996	14030			2383::Ewan McGregor|2888::Gwyneth Paltrow|6163::Jeremy Northam|6970::Alan Cumming|9626::Phyllida Law|9803::Juliet Stevenson|11666::James Cosmo|11880::Greta Scacchi|14179::Toni Collette|14971::Polly Walker|19302::Sophie Thompson|19558::Edward Woodall
